Date,Home,home_goal_count,Away,away_goal_count,Referee,Result
9/27/2020,Sheffield United,0,Leeds,1,P Tierney, A 
9/27/2020,Tottenham,1,Newcastle,1,P Bankes, D 
9/27/2020,Man City,2,Leicester,5,M Oliver, A 
9/27/2020,West Ham,4,Wolves,0,M Atkinson, H 
9/26/2020,Brighton,2,Man United,3,C Kavanagh, A 
9/26/2020,Crystal Palace,1,Everton,2,K Friend, A 
9/26/2020,West Brom,3,Chelsea,3,J Moss, D 
9/26/2020,Burnley,0,Southampton,1,A Marriner, A 
9/21/2020,Aston Villa,1,Sheffield United,0,G Scott, H 
9/21/2020,Wolves,1,Man City,3,A Marriner, A 
9/20/2020,Southampton,2,Tottenham,5,D Coote, A 
9/20/2020,Newcastle,0,Brighton,3,K Friend, A 
9/20/2020,Chelsea,0,Liverpool,2,P Tierney, A 
9/20/2020,Leicester,4,Burnley,2,L Mason, H 
9/19/2020,Everton,5,West Brom,2,M Dean, H 
9/19/2020,Leeds,4,Fulham,3,A Taylor, H 
9/19/2020,Man United,1,Crystal Palace,3,M Atkinson, A 
9/19/2020,Arsenal,2,West Ham,1,M Oliver, H 
9/14/2020,Brighton,1,Chelsea,3,C Pawson, A 
9/14/2020,Sheffield United,0,Wolves,2,M Dean, A 
9/13/2020,West Brom,0,Leicester,3,A Taylor, A 
9/13/2020,Tottenham,0,Everton,1,M Atkinson, A 
9/12/2020,Fulham,0,Arsenal,3,C Kavanagh, A 
9/12/2020,Crystal Palace,1,Southampton,0,J Moss, H 
9/12/2020,Liverpool,4,Leeds,3,M Oliver, H 
9/12/2020,West Ham,0,Newcastle,2,S Attwell, A 
